ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,画像調整,,Faucet一覧表示制御,,仕様テキスト,注釈テキスト,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,,,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE,GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA,ECOPOWER,EWATER,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,IS_CHANGE_SERIES,IS_SEPARETE_COUNTER,HIDE_LIST,LIST_DISP_PRODUCT_ID,DESCRIPTION,EXPLAIN,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
138,faucet,TLG09303,,G,GM,Single W/ pop-up,single_w_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,if2019,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
139,faucet,TLG09305,,G,GM,Single W/ pop-up,single_w_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,if2019,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
140,faucet,TLG09302,,G,GM,single W/O pop-up,single_wo_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,if2019,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
141,faucet,TLG09304,,G,GM,single W/O pop-up,single_wo_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,if2019,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
142,faucet,TLG09306,,G,GM,single W/O pop-up,single_wo_popup,Tall,,,,tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,if2019,rd2019,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
143,faucet,TLG09307,,G,GM,Wall Mount,wallmount,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
144,faucet,TLG09308,,G,GM,Wall Mount,wallmount,Long,,,,long,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
145,faucet,TLG09201,,G,GM,2 handle,handle,,,,,,,,,,,,,,https://www.toto.com/en/gb_faucet/,,,,,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
146,faucet,TLG10301,,G,GB,Single W/ pop-up,single_w_popup,Short,,,,short,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
147,faucet,TLG10303,,G,GB,Single W/ pop-up,single_w_popup,Semi-Tall,,,,semi-tall,,,,,,,,,https://www.toto.com/en/gb_faucet/,,rd2020,,1,,,,,,,,,,1,1,1,1,,,1,1,1,,,1,,,,,,,,,,PC
